ts_ns,exchange,feed,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns
1760065290860751727,bybit,orderbook,0.24843438,,market,,,,,,,,,,,
1760065290862000000,binance,bbo,0.24843438,,market,,,,,,,,,,,
1760065290865000000,gate,bbo,0.24843500,,market,,,,,,,,,,,
1760065290880498559,bybit,orderbook,0.24843438,,market,,,,,,,,,,,
1760065290900199543,bybit,orderbook,0.24843438,,market,,,,,,,,,,,
1760065290921729945,bybit,orderbook,0.24843438,,market,,,,,,,,,,,
1760065290940029487,bybit,orderbook,0.24843444,,market,,,,,,,,,,,
1760065290948000000,binance,bbo,0.24843444,,market,,,,,,,,,,,
1760065290839000000,binance,trade,0.24842944,sell,market,,,,,,,,,,,
1760065290938000000,gate,bbo,0.24843500,,market,,,,,,,,,,,
1760065290950399731,bitget,orderbook,0.24843444,,market,,,,,,,,,,,
1760065290946000000,bitget,bbo,0.24843444,,market,,,,,,,,,,,
1760065290960230879,bybit,orderbook,0.24843444,,market,,,,,,,,,,,
1760065290933000000,bybit,bbo,0.24843444,,market,,,,,,,,,,,
1760065290980079161,bybit,orderbook,0.24843444,,market,,,,,,,,,,,
1760065290999000000,binance,bbo,0.24843450,,market,,,,,,,,,,,
1760065291005000000,gate,bbo,0.24843500,,market,,,,,,,,,,,
1760065291020267801,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291040099403,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291060486059,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291100172405,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291097000000,binance,bbo,0.24843450,,market,,,,,,,,,,,
1760065290940000000,binance,trade,0.24842950,sell,market,,,,,,,,,,,
1760065291094056661,bitget,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291120037275,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291140207001,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291160064380,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291200099809,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291240089440,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291260297401,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291280141532,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291283186457,bitget,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291300296969,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291340107109,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291360490840,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291380183777,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291353000000,bybit,bbo,0.24843450,,market,,,,,,,,,,,
1760065291400123646,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291420095261,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291440211344,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291414000000,bybit,bbo,0.24843450,,market,,,,,,,,,,,
1760065291436529252,bitget,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291460583026,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291490000000,binance,bbo,0.24843450,,market,,,,,,,,,,,
1760065291520715229,bybit,orderbook,0.24843450,,market,,,,,,,,,,,
1760065291559000000,binance,bbo,0.24843450,,market,,,,,,,,,,,
1760065291590000000,binance,bbo,0.24842545,,market,,,,,,,,,,,
1760065291578000000,gate,bbo,0.24843500,,market,,,,,,,,,,,
1760065291588432304,bitget,orderbook,0.24843455,,market,,,,,,,,,,,
1760065291601173266,bybit,orderbook,0.24843462,,market,,,,,,,,,,,
1760065291611000000,binance,bbo,0.24841692,,market,,,,,,,,,,,
1760065291559000000,binance,trade,0.24843192,sell,market,,,,,,,,,,,
1760065291605000000,gate,bbo,0.24843500,,market,,,,,,,,,,,
1760065291603570637,bitget,orderbook,0.24843462,,market,,,,,,,,,,,
1760065291599000000,bitget,bbo,0.24843462,,market,,,,,,,,,,,
1760065291620225666,bybit,orderbook,0.24843462,,market,,,,,,,,,,,
1760065291626000000,binance,bbo,0.24841692,,market,,,,,,,,,,,
1760065291623768068,bitget,orderbook,0.24843462,,market,,,,,,,,,,,
1760065291619000000,bitget,bbo,0.24843462,,market,,,,,,,,,,,
1760065291613000000,bybit,bbo,0.24843393,,market,,,,,,,,,,,
1760065291613000000,bybit,trade,0.24842893,sell,market,,,,,,,,,,,
1760065291650000000,binance,bbo,0.24841750,,market,,,,,,,,,,,
1760065291644000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065291660167376,bybit,orderbook,0.24842375,,market,,,,,,,,,,,
1760065291633000000,bybit,bbo,0.24842375,,market,,,,,,,,,,,
1760065291665000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065291664864779,bitget,orderbook,0.24842344,,market,,,,,,,,,,,
1760065291660000000,bitget,bbo,0.24842344,,market,,,,,,,,,,,
1760065291680190605,bybit,orderbook,0.24842382,,market,,,,,,,,,,,
1760065291653000000,bybit,bbo,0.24842382,,market,,,,,,,,,,,
1760065291685000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065291684612401,bitget,orderbook,0.24842353,,market,,,,,,,,,,,
1760065291680000000,bitget,bbo,0.24842353,,market,,,,,,,,,,,
1760065291666000000,bitget,trade,0.24841853,sell,market,,,,,,,,,,,
1760065291700152764,bybit,orderbook,0.24842382,,market,,,,,,,,,,,
1760065291673000000,bybit,bbo,0.24842382,,market,,,,,,,,,,,
1760065291711000000,binance,bbo,0.24841882,,market,,,,,,,,,,,
