ts_ns,exchange,feed,source_engine_ts_ns,source_system_ts_ns,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns,bid_px_1,bid_sz_1,bid_px_2,bid_sz_2,bid_px_3,bid_sz_3,bid_px_4,bid_sz_4,bid_px_5,bid_sz_5,ask_px_1,ask_sz_1,ask_px_2,ask_sz_2,ask_px_3,ask_sz_3,ask_px_4,ask_sz_4,ask_px_5,ask_sz_5,bid_depth,ask_depth
1764227723583987375,bybit,orderbook,1764227723535000000,1764227723537000000,143.61583333,,market,,,,,,,,,,,,143.61083333,6.10000000,143.60083333,162.60000000,143.59083333,280.50000000,143.58083333,832.80000000,143.57083333,873.20000000,143.62083333,1840.00000000,143.63083333,365.30000000,143.64083333,600.90000000,143.65083333,1284.70000000,143.66083333,1131.90000000,2155.20000000,5222.80000000
1764227723587046500,gate,orderbook,1764227723508000000,,143.62500000,,market,,,,,,,,,,,,143.62000000,31.00000000,143.61000000,62.00000000,143.60000000,200.00000000,143.59000000,131.00000000,143.58000000,205.00000000,143.63000000,58.00000000,143.64000000,70.00000000,143.65000000,83.00000000,143.66000000,67.00000000,143.67000000,152.00000000,629.00000000,430.00000000
1764227723584900209,gate,bbo,1764227723508000000,1764227723508000000,143.62500000,,market,,,,,,,,,,,,143.62000000,31.00000000,,,,,,,,,143.63000000,58.00000000,,,,,,,,,31.00000000,58.00000000
1764227723605478417,bybit,orderbook,1764227723548000000,1764227723558000000,143.61583333,,market,,,,,,,,,,,,143.61083333,6.10000000,143.60083333,162.60000000,143.59083333,280.50000000,143.58083333,832.80000000,143.57083333,873.20000000,143.62083333,1840.00000000,143.63083333,365.30000000,143.64083333,600.90000000,143.65083333,1284.70000000,143.66083333,1131.90000000,2155.20000000,5222.80000000
1764227723612525292,binance,orderbook,1764227723532000000,,143.62447368,,market,,,,,,,,,,,,143.61947368,270.79000000,143.60947368,264.89000000,143.59947368,577.95000000,143.58947368,1025.61000000,143.57947368,2147.01000000,143.62947368,1144.09000000,143.63947368,564.19000000,143.64947368,390.31000000,143.65947368,807.98000000,143.66947368,725.08000000,4286.25000000,3631.65000000
1764227723624673084,bybit,orderbook,1764227723573000000,1764227723577000000,143.61583333,,market,,,,,,,,,,,,143.61083333,6.10000000,143.60083333,162.60000000,143.59083333,280.50000000,143.58083333,832.80000000,143.57083333,873.20000000,143.62083333,1840.00000000,143.63083333,365.30000000,143.64083333,600.90000000,143.65083333,1284.70000000,143.66083333,1131.90000000,2155.20000000,5222.80000000
1764227723643832375,bybit,orderbook,1764227723593000000,1764227723598000000,143.61583333,,market,,,,,,,,,,,,143.61083333,6.10000000,143.60083333,162.60000000,143.59083333,280.50000000,143.58083333,832.80000000,143.57083333,873.20000000,143.62083333,1840.00000000,143.63083333,365.30000000,143.64083333,600.90000000,143.65083333,1284.70000000,143.66083333,1131.90000000,2155.20000000,5222.80000000
1764227723661223084,okx,orderbook,1764227723596000000,1764227723506000000,143.62763158,,market,,,,,,,,,,,,143.62263158,11.74000000,143.61263158,51.45000000,143.60263158,228.92000000,143.59263158,887.88000000,143.58263158,1567.40000000,143.63263158,523.58000000,143.64263158,556.77000000,143.65263158,911.36000000,143.66263158,571.90000000,143.67263158,696.91000000,2747.39000000,3260.52000000
1764227723661223084,okx,bbo,1764227723596000000,1764227723596000000,143.62763158,,market,,,,,,,,,,,,143.62263158,11.74000000,,,,,,,,,143.63263158,523.58000000,,,,,,,,,11.74000000,523.58000000
1764227723682385209,bybit,orderbook,1764227723626000000,1764227723637000000,143.61653846,,market,,,,,,,,,,,,143.61153846,6.10000000,143.60153846,162.60000000,143.59153846,280.50000000,143.58153846,832.80000000,143.57153846,873.20000000,143.62153846,1840.00000000,143.63153846,365.30000000,143.64153846,600.90000000,143.65153846,1284.70000000,143.66153846,1131.90000000,2155.20000000,5222.80000000
